Time (UTC),Latitude (deg),Longitude (deg), X (nT), Y (nT), Z (nT),TF (nT),TF20pt, Tempature (°F)
12/7/2021 20:35,70.230377,-148.382812,6759.42,-32075.49,-64701.82,72531.73325,72592.44181,999
12/7/2021 20:36,70.230377,-148.382812,6722.94,-32127.91,-64784.19,72625.00807,72589.54851,999
12/7/2021 20:37,70.230377,-148.382812,6890.2,-32074.63,-64907.17,72726.86892,72592.12059,999
12/7/2021 20:38,70.230377,-148.382812,7008.45,-32014.31,-64756.2,72576.85481,72597.34904,999
12/7/2021 20:39,70.230377,-148.382812,6793.09,-32092.45,-64648.21,72494.56859,72590.99689,999
12/7/2021 20:41,70.230377,-148.382812,6919.14,-32143.53,-64539.91,72432.59627,72596.09916,999
12/7/2021 20:42,70.230377,-148.382812,6860.16,-32145.83,-64787.84,72649.02197,72603.51857,999
12/7/2021 20:43,70.230377,-148.382812,7070,-32097.83,-64810.99,72668.56277,72609.73141,999
12/7/2021 20:44,70.230377,-148.382812,6944.21,-32146.83,-64611.32,72500.09244,72613.72609,999
12/7/2021 20:45,70.230377,-148.382812,6838.89,-32065.95,-64854.32,72671.02854,72614.7398,999
12/7/2021 20:46,70.230377,-148.382812,6851.47,-32160.74,-64785.76,72652.94583,72616.08149,999
12/7/2021 20:48,70.230377,-148.382812,6996.77,-32134.91,-64780.74,72650.88785,72607.90808,999
12/7/2021 20:49,70.230377,-148.382812,6804.9,-32138.88,-64783.32,72636.71814,72598.80124,999
12/7/2021 20:50,70.230377,-148.382812,6943.42,-32140.05,-64753.26,72623.54009,72593.83738,999
12/7/2021 20:51,70.230377,-148.382812,6697.74,-32261.21,-64878.16,72765.52093,72594.21344,999
12/7/2021 20:52,70.230377,-148.382812,6821.32,-32266.51,-64720.64,72638.96555,72592.32363,999
12/7/2021 20:53,70.230377,-148.382812,6927.57,-32302.59,-64789.2,72726.12312,72586.92457,999
12/7/2021 20:55,70.230377,-148.382812,6931.48,-32291.87,-64667.59,72613.41115,72576.10553,999
12/7/2021 20:56,70.230377,-148.382812,6962.09,-32204.37,-64575.7,72495.60797,72564.97992,999
12/7/2021 20:57,70.230377,-148.382812,6741.66,-32267.88,-64636.56,72557.22533,72556.01971,999
12/7/2021 20:58,70.230377,-148.382812,6634.69,-32224.24,-64571.19,72469.71321,72558.03625,999
12/7/2021 20:59,70.230377,-148.382812,6582.85,-32370.15,-64597.98,72553.83894,72556.98155,999
12/7/2021 21:00,70.230377,-148.382812,6750.21,-32172.6,-64599.36,72482.54161,72551.39016,999
12/7/2021 21:02,70.230377,-148.382812,6815.19,-32135.64,-64632.44,72501.71359,72560.09574,999
12/7/2021 21:03,70.230377,-148.382812,6880.38,-32180.46,-64485.34,72396.68991,72553.39617,999
12/7/2021 21:04,70.230377,-148.382812,6746.99,-32194.83,-64660.32,72546.43985,72550.77269,999
12/7/2021 21:05,70.230377,-148.382812,6865.93,-31989.01,-64656.39,72463.00107,72551.92451,999
12/7/2021 21:06,70.230377,-148.382812,6757.99,-32046.86,-64443.66,72288.70575,72553.70313,999
12/7/2021 21:07,70.230377,-148.382812,6827.66,-32154.18,-64620.86,72500.78468,72565.5421,999
12/7/2021 21:09,70.230377,-148.382812,6802.21,-32169.51,-64829.56,72691.26003,72575.45864,999
12/7/2021 21:10,70.230377,-148.382812,6807.53,-32083.54,-64803.89,72630.84856,72578.75138,999
12/7/2021 21:11,70.230377,-148.382812,6691.38,-32128.49,-64681.19,72530.4817,72575.85247,999
12/7/2021 21:12,70.230377,-148.382812,6759.34,-32236.99,-64910.08,72788.94619,72588.86619,999
12/7/2021 21:13,70.230377,-148.382812,6769.31,-32218.29,-64749.29,72638.22908,72600.56637,999
12/7/2021 21:14,70.230377,-148.382812,6788.8,-32312.17,-64645.31,72589.1193,72623.97403,999
12/7/2021 21:16,70.230377,-148.382812,6795.29,-32301.56,-64828.28,72748.00776,72635.69466,999
12/7/2021 21:17,70.230377,-148.382812,6886.37,-32291.55,-64710.51,72647.20502,72639.86825,999
12/7/2021 21:18,70.230377,-148.382812,6831.95,-32172.66,-64857.71,72720.54826,72661.86568,999
12/7/2021 21:19,70.230377,-148.382812,6748.97,-32224.78,-64868.66,72745.63968,72667.02808,999
12/7/2021 21:20,70.230377,-148.382812,6787.06,-32092.88,-64690.91,72532.27535,72669.3287,999
12/7/2021 21:21,70.230377,-148.382812,6714.15,-32069.36,-64672.61,72498.75961,72661.22831,999
12/7/2021 21:23,70.230377,-148.382812,6804.19,-32203.72,-64855.59,72729.80227,72677.01491,999
12/7/2021 21:24,70.230377,-148.382812,6766.43,-32297.12,-64806.59,72724.01696,72680.67079,999
12/7/2021 21:25,70.230377,-148.382812,6632.13,-32227.22,-64986.89,72841.43552,72681.02809,999
12/7/2021 21:26,70.230377,-148.382812,6628.47,-32310.97,-64864.56,72769.13179,72683.99242,999
12/7/2021 21:27,70.230377,-148.382812,6657.11,-32126.53,-64698.95,72542.29921,72683.28555,999
12/7/2021 21:28,70.230377,-148.382812,6831.37,-32186.05,-64835.55,72706.65702,72698.52036,999
12/7/2021 21:30,70.230377,-148.382812,6651.4,-32066.83,-64792.54,72598.87016,72692.51825,999
12/7/2021 21:31,70.230377,-148.382812,6867.94,-32161.45,-64875.64,72734.97186,72692.52756,999
12/7/2021 21:32,70.230377,-148.382812,6915.29,-32134.8,-64594.43,72476.94112,72705.39216,999
12/7/2021 21:33,70.230377,-148.382812,6805.59,-32159.37,-64990.23,72830.42722,72714.62547,999
12/7/2021 21:34,70.230377,-148.382812,6778.56,-32237.86,-64985.53,72858.4079,72723.15139,999
12/7/2021 21:35,70.230377,-148.382812,6896.78,-32149.46,-64777.66,72645.01764,72718.02672,999
12/7/2021 21:37,70.230377,-148.382812,6834.09,-32217.52,-64750.96,72645.44172,72714.71253,999
12/7/2021 21:38,70.230377,-148.382812,6861.85,-32098.38,-64907.07,72734.5772,72700.2744,999
12/7/2021 21:39,70.230377,-148.382812,6744.43,-32294.71,-65048.61,72936.66631,72704.65536,999
12/7/2021 21:40,70.230377,-148.382812,6699.91,-32260.69,-64699.8,72606.5082,72702.0318,999
12/7/2021 21:41,70.230377,-148.382812,6969.03,-32290.55,-64812.86,72745.81651,72680.23098,999
12/7/2021 21:42,70.230377,-148.382812,6898.59,-32140.94,-64929.33,72776.70274,72661.4387,999
12/7/2021 21:44,70.230377,-148.382812,6848.3,-32041.47,-64868.97,72674.19268,72659.08384,999
12/7/2021 21:45,70.230377,-148.382812,6809.81,-32182.87,-65046.93,72891.79471,72640.47417,999
12/7/2021 21:46,70.230377,-148.382812,6774.37,-32167.08,-64761.23,72626.64825,72616.08264,999
12/7/2021 21:47,70.230377,-148.382812,6956.35,-32155.81,-64917.78,72778.46579,72601.6548,999
12/7/2021 21:48,70.230377,-148.382812,6727.82,-32116.58,-64643.32,72494.80736,72595.70955,999
12/7/2021 21:49,70.230377,-148.382812,6738,-32186.72,-64754.02,72625.53748,72601.70365,999
12/7/2021 21:51,70.230377,-148.382812,6722.85,-32089.24,-64839,72656.80943,72593.53702,999
12/7/2021 21:52,70.230377,-148.382812,6791.99,-31976.25,-64358.47,72184.65455,72614.14698,999
12/7/2021 21:53,70.230377,-148.382812,6879.54,-32110.04,-64499.46,72377.91845,72618.31316,999
