Time (UTC),Latitude (deg),Longitude (deg), X (nT), Y (nT), Z (nT),TF (nT), Tempature (°F)
12/8/2021 18:03,70.230377,-148.382812,-1435.51,9798.35,-72404.91,73078.99386,999
12/8/2021 18:04,70.230377,-148.382812,-1505.69,9885.66,-72253.99,72942.66548,999
12/8/2021 18:05,70.230377,-148.382812,-1467.14,9887.03,-72202.24,72890.8041,999
12/8/2021 18:06,70.230377,-148.382812,-1547.1,9865.12,-72196.7,72884.001,999
12/8/2021 18:07,70.230377,-148.382812,-1453.56,9938.69,-72325.5,73019.64356,999
12/8/2021 18:09,70.230377,-148.382812,-1537.95,9973.19,-72299.9,73000.72156,999
12/8/2021 18:10,70.230377,-148.382812,-1379.58,9901.07,-72225.23,72913.77289,999
12/8/2021 18:11,70.230377,-148.382812,-1605.23,9820.51,-72036.41,72720.44792,999
12/8/2021 18:12,70.230377,-148.382812,-1562.16,9826.28,-72304.53,72985.89714,999
12/8/2021 18:13,70.230377,-148.382812,-1473.02,9799.59,-72176.84,72853.94968,999
12/8/2021 18:14,70.230377,-148.382812,-1530.35,9771.32,-72213.02,72887.17942,999
12/8/2021 18:16,70.230377,-148.382812,-1550.14,9704.14,-72272.77,72937.82661,999
12/8/2021 18:17,70.230377,-148.382812,-1532.69,9675.77,-72571.92,73230.13885,999
12/8/2021 18:18,70.230377,-148.382812,-1470.39,9748.48,-72532.3,73199.24489,999
12/8/2021 18:19,70.230377,-148.382812,-1388.42,9962.23,-72409.03,73104.31836,999
12/8/2021 18:20,70.230377,-148.382812,-1420.95,9988.96,-72328.65,73028.98077,999
12/8/2021 18:21,70.230377,-148.382812,-1323.7,9931.08,-72220.99,72912.61844,999
12/8/2021 18:23,70.230377,-148.382812,-1169.79,9947.01,-72384.45,73074.07213,999
12/8/2021 18:24,70.230377,-148.382812,-1221.03,9935.68,-72335.62,73024.99964,999
12/8/2021 18:25,70.230377,-148.382812,-1213.96,10064.46,-72349.84,73056.59725,999
12/8/2021 18:26,70.230377,-148.382812,-1161.88,9991.45,-72249.46,72946.30565,999
12/8/2021 18:27,70.230377,-148.382812,-1222.78,10125.82,-72134.11,72851.61115,999
12/8/2021 18:28,70.230377,-148.382812,-1361.23,10077.9,-72095.43,72809.1206,999
12/8/2021 18:30,70.230377,-148.382812,-1308.56,9926.98,-72104.52,72796.42207,999
12/8/2021 18:31,70.230377,-148.382812,-1294.62,9859.76,-72071.3,72754.12835,999
12/8/2021 18:32,70.230377,-148.382812,-1238.76,9842.55,-72241.24,72919.18179,999
12/8/2021 18:33,70.230377,-148.382812,-1147.54,9995.92,-72171.02,72869.00159,999
12/8/2021 18:34,70.230377,-148.382812,-1386.94,10056.53,-72360.84,73069.47765,999
12/8/2021 18:35,70.230377,-148.382812,-1261.96,9913.44,-72219.85,72907.99387,999
12/8/2021 18:37,70.230377,-148.382812,-1246.11,9899.66,-72234.48,72920.34119,999
12/8/2021 18:38,70.230377,-148.382812,-1377.46,9914.98,-72304.37,72994.01445,999
12/8/2021 18:39,70.230377,-148.382812,-1274.84,9814.02,-72338.52,73012.33924,999
12/8/2021 18:40,70.230377,-148.382812,-1400.36,9707.48,-72209.16,72872.20982,999
12/8/2021 18:41,70.230377,-148.382812,-1360,9791.48,-72423.7,73095.2461,999
12/8/2021 18:42,70.230377,-148.382812,-1320.4,9773.57,-72379.91,73048.73372,999
12/8/2021 18:44,70.230377,-148.382812,-1264.19,9779.88,-72505.41,73172.93699,999
12/8/2021 18:45,70.230377,-148.382812,-1351.95,9820.41,-72193.45,72870.86142,999
12/8/2021 18:46,70.230377,-148.382812,-1120.25,9732.2,-72429.96,73089.46424,999
12/8/2021 18:47,70.230377,-148.382812,-1019.69,9672.91,-72227.13,72879.10032,999
12/8/2021 18:48,70.230377,-148.382812,-1165.01,9613.39,-72367.19,73012.22298,999
12/8/2021 18:49,70.230377,-148.382812,-1244.51,9817.18,-72218.33,72893.16166,999
12/8/2021 18:51,70.230377,-148.382812,-1259.88,9840.79,-72377.95,73054.74722,999
12/8/2021 18:52,70.230377,-148.382812,-1318.21,9809.87,-72337.46,73011.50147,999
12/8/2021 18:53,70.230377,-148.382812,-1276.27,9779.54,-72714.45,73380.23921,999
12/8/2021 18:54,70.230377,-148.382812,-1262.01,9945.81,-72445.53,73135.94617,999
12/8/2021 18:55,70.230377,-148.382812,-1024.36,10029.26,-72348.66,73047.68287,999
12/8/2021 18:56,70.230377,-148.382812,-1116.09,10011.61,-72343.7,73041.69303,999
12/8/2021 18:58,70.230377,-148.382812,-1407.77,9837.9,-72504.71,73182.64183,999
12/8/2021 18:59,70.230377,-148.382812,-1093.82,9877.23,-72694.91,73371.01645,999
12/8/2021 19:00,70.230377,-148.382812,-1315.28,9753.8,-72580.04,73244.30887,999
12/8/2021 19:01,70.230377,-148.382812,-1080.56,9812.51,-72581.46,73249.71876,999
12/8/2021 19:02,70.230377,-148.382812,-987.3,9746.85,-72641.71,73299.34432,999
12/8/2021 19:03,70.230377,-148.382812,-929.36,9637.12,-72534.41,73177.7181,999
12/8/2021 19:05,70.230377,-148.382812,-1118.12,9584.88,-72597.15,73235.6901,999
12/8/2021 19:06,70.230377,-148.382812,-1188.81,9601.07,-72381.9,73025.56581,999
12/8/2021 19:07,70.230377,-148.382812,-1177,9574.17,-72183.34,72825.02752,999
12/8/2021 19:08,70.230377,-148.382812,-1180.81,9560.79,-72296.16,72935.1614,999
12/8/2021 19:09,70.230377,-148.382812,-1150.6,9566.83,-72166.91,72807.3555,999
12/8/2021 19:10,70.230377,-148.382812,-1019.97,9630.77,-72194.37,72841.05387,999
12/8/2021 19:12,70.230377,-148.382812,-1161.15,9530.41,-72394.93,73028.78113,999
12/8/2021 19:13,70.230377,-148.382812,-1238.57,9610.74,-72522.72,73167.24195,999
12/8/2021 19:14,70.230377,-148.382812,-1189.21,9707.4,-72679.88,73334.93569,999
12/8/2021 19:15,70.230377,-148.382812,-1362.59,9581.51,-72431.37,73075.06651,999
12/8/2021 19:16,70.230377,-148.382812,-1291.04,9815.1,-72626.54,73298.13971,999
12/8/2021 19:17,70.230377,-148.382812,-1189.89,10052.55,-72593.16,73295.54201,999
12/8/2021 19:19,70.230377,-148.382812,-1257.72,9875.45,-72753.47,73431.42222,999
12/8/2021 19:20,70.230377,-148.382812,-1345.82,9884.01,-72901.7,73580.99448,999
12/8/2021 19:21,70.230377,-148.382812,-1290.01,9928.54,-72817.18,73502.25667,999
12/8/2021 19:22,70.230377,-148.382812,-1249.27,9946.61,-72592.19,73281.11472,999
12/8/2021 19:23,70.230377,-148.382812,-1157.76,9793.81,-72315.3,72984.66782,999
12/8/2021 19:24,70.230377,-148.382812,-1201.07,9875.92,-72382.9,73063.40108,999
12/8/2021 19:26,70.230377,-148.382812,-1228.49,9835.04,-72234.4,72911.21822,999
12/8/2021 19:27,70.230377,-148.382812,-1121.3,9722.23,-72359.98,73018.80426,999
12/8/2021 19:28,70.230377,-148.382812,-1089.14,9715.51,-72346.38,73003.94551,999
12/8/2021 19:29,70.230377,-148.382812,-1026.76,9633.8,-72527.22,73171.45604,999
12/8/2021 19:30,70.230377,-148.382812,-1229.92,9764.35,-72494.64,73159.60677,999
12/8/2021 19:31,70.230377,-148.382812,-1076.07,9812.86,-72509.18,73178.07959,999
12/8/2021 19:33,70.230377,-148.382812,-1134.9,9873.64,-72467.65,73145.99826,999
12/8/2021 19:34,70.230377,-148.382812,-964.72,9744.31,-72202.48,72863.43651,999
12/8/2021 19:35,70.230377,-148.382812,-1117.39,9634.17,-72416.12,73062.71435,999
12/8/2021 19:36,70.230377,-148.382812,-1170.71,9745.55,-72358.65,73021.37041,999
12/8/2021 19:37,70.230377,-148.382812,-1128.23,9630.46,-72496.12,73141.68495,999
12/8/2021 19:38,70.230377,-148.382812,-1191.16,9683.63,-72414.32,73068.63413,999
12/8/2021 19:40,70.230377,-148.382812,-1201.33,9870.34,-72507.65,73186.24266,999
12/8/2021 19:41,70.230377,-148.382812,-1015.36,9814.36,-72576.79,73244.40637,999
12/8/2021 19:42,70.230377,-148.382812,-941.57,9743.67,-72634.56,73291.23389,999
12/8/2021 19:43,70.230377,-148.382812,-1017.64,9762.48,-72482.99,73144.55172,999
12/8/2021 19:44,70.230377,-148.382812,-957.84,9862.38,-72149.46,72826.70235,999
12/8/2021 19:45,70.230377,-148.382812,-922.14,9860.08,-72649.4,73321.25776,999
12/8/2021 19:47,70.230377,-148.382812,-1124.37,9934.77,-72539.4,73225.18976,999
12/8/2021 19:48,70.230377,-148.382812,-1069.79,9941.7,-72376.96,73064.39754,999
12/8/2021 19:49,70.230377,-148.382812,-1085.14,9857.69,-72582.23,73256.61535,999
12/8/2021 19:50,70.230377,-148.382812,-1129.7,9899.62,-72528.48,73209.69273,999
12/8/2021 19:51,70.230377,-148.382812,-1075.77,9871.96,-72403.84,73081.65927,999
12/8/2021 19:52,70.230377,-148.382812,-1204.2,9783.25,-72186.32,72856.20683,999
12/8/2021 19:54,70.230377,-148.382812,-1131.52,9875.29,-72389.01,73068.2589,999
12/8/2021 19:55,70.230377,-148.382812,-1095.25,9850.88,-72092.68,72770.83151,999
12/8/2021 19:56,70.230377,-148.382812,-1244.05,9864.82,-72098.65,72781.02545,999
12/8/2021 19:57,70.230377,-148.382812,-1197.31,9953.25,-72286.34,72978.18638,999
12/8/2021 19:58,70.230377,-148.382812,-1218.06,9908.6,-72430.66,73115.41925,999
12/8/2021 19:59,70.230377,-148.382812,-972.09,9937.19,-72473.68,73158.2326,999
12/8/2021 20:01,70.230377,-148.382812,-1013.56,9696.51,-72152.27,72807.96437,999
12/8/2021 20:02,70.230377,-148.382812,-1004.06,9724.89,-72446.85,73103.54093,999
12/8/2021 20:03,70.230377,-148.382812,-1050.46,9735.13,-72153.43,72814.79028,999
12/8/2021 20:04,70.230377,-148.382812,-1254.37,9856.08,-72463.72,73141.68766,999
12/8/2021 20:05,70.230377,-148.382812,-1266.83,9797.86,-72458.34,73128.74916,999
12/8/2021 20:06,70.230377,-148.382812,-1227.66,9882.65,-72416.23,73097.77211,999
12/8/2021 20:08,70.230377,-148.382812,-1207.72,9814.5,-72258.57,72932.05013,999
12/8/2021 20:09,70.230377,-148.382812,-1332.27,9906.36,-72204.62,72893.19626,999
12/8/2021 20:10,70.230377,-148.382812,-1543.23,9883.53,-72222.74,72912.20678,999
12/8/2021 20:11,70.230377,-148.382812,-1412.22,9857.14,-72304.15,72986.62673,999
12/8/2021 20:12,70.230377,-148.382812,-1225.96,10073.37,-72302.76,73011.40229,999
12/8/2021 20:13,70.230377,-148.382812,-1129.68,9970.71,-72240.32,72933.90891,999
12/8/2021 20:15,70.230377,-148.382812,-1220.49,9827.98,-72347.77,73022.45278,999
12/8/2021 20:16,70.230377,-148.382812,-1204.47,9679.07,-72305.84,72960.74042,999
12/8/2021 20:17,70.230377,-148.382812,-1309.71,9649.38,-72488.74,73139.88858,999
12/8/2021 20:18,70.230377,-148.382812,-1333.71,9772.7,-72455.49,73123.74771,999
12/8/2021 20:19,70.230377,-148.382812,-1324.85,9709.78,-72331.46,72992.29522,999
12/8/2021 20:20,70.230377,-148.382812,-1164.33,9682.18,-72403.14,73056.92955,999
12/8/2021 20:22,70.230377,-148.382812,-1109.97,9748.27,-72420.41,73081.98537,999
12/8/2021 20:23,70.230377,-148.382812,-1221.59,9740.95,-72311.8,72975.1657,999
12/8/2021 20:24,70.230377,-148.382812,-1210.15,9804.91,-72232.16,72904.63402,999
12/8/2021 20:25,70.230377,-148.382812,-1294.99,9719.47,-72370.43,73031.66597,999
12/8/2021 20:26,70.230377,-148.382812,-1287.01,9785.26,-72660.76,73327.98751,999
12/8/2021 20:27,70.230377,-148.382812,-1295.99,9827.04,-72590.88,73264.49457,999
12/8/2021 20:29,70.230377,-148.382812,-1396.61,9815.92,-72535.46,73209.94306,999
12/8/2021 20:30,70.230377,-148.382812,-1251.83,9712.63,-72306.58,72966.73058,999
12/8/2021 20:31,70.230377,-148.382812,-1164.98,9714.3,-72239.52,72899.06071,999
12/8/2021 20:32,70.230377,-148.382812,-1375.3,9804.82,-72347.34,73021.66494,999
12/8/2021 20:33,70.230377,-148.382812,-1433.22,9730.39,-72274.84,72940.98372,999
12/8/2021 20:34,70.230377,-148.382812,-1482.65,9845.59,-72163.17,72846.80499,999
12/8/2021 20:36,70.230377,-148.382812,-1240.24,9809.13,-72164.19,72838.36589,999
12/8/2021 20:37,70.230377,-148.382812,-1284.84,9783.47,-72444.31,73113.23512,999
12/8/2021 20:38,70.230377,-148.382812,-1149.66,9858.43,-72381.07,73058.39893,999
12/8/2021 20:39,70.230377,-148.382812,-1267.18,9831.29,-72418.27,73093.5417,999
12/8/2021 20:40,70.230377,-148.382812,-1149.1,9768.82,-72332.63,72998.35366,999
12/8/2021 20:41,70.230377,-148.382812,-1222.75,9769.14,-72800.21,73462.928,999
12/8/2021 20:43,70.230377,-148.382812,-1152.39,9780.15,-72234.9,72903.08714,999
12/8/2021 20:44,70.230377,-148.382812,-1360.57,9701.27,-72419.06,73078.62917,999
12/8/2021 20:45,70.230377,-148.382812,-1321.8,9585.65,-72449.8,73093.128,999
