Time (UTC),Latitude (deg),Longitude (deg), Total Field (nT), Horizontal Component (nT), Vertical Component (nT)
2022-03-14 05:54:34,39.992420,-105.247673,47259.14,20327.77,42663.89
2022-03-14 05:54:44,39.992413,-105.247673,47722.12,20529.19,43080.77
2022-03-14 05:54:54,39.992413,-105.247681,47839.36,19851.83,43525.96
2022-03-14 05:55:04,39.992413,-105.247681,47747.42,20250.84,43240.26
2022-03-14 05:55:14,39.992413,-105.247681,47728.68,19628.71,43505.63
2022-03-14 05:55:24,39.992413,-105.247681,47307.02,20043.73,42850.94
2022-03-14 05:55:34,39.992413,-105.247681,47540.20,19610.47,43307.04
2022-03-14 05:55:44,39.992432,-105.247673,47129.59,19368.20,42965.93
2022-03-14 05:55:54,39.992432,-105.247673,47356.74,19403.73,43199.03
2022-03-14 05:56:04,39.992432,-105.247673,47136.91,18978.36,43147.54
2022-03-14 05:56:14,39.992432,-105.247673,47112.67,19543.63,42867.82
2022-03-14 05:56:24,39.992435,-105.247665,47606.90,19872.33,43260.93
2022-03-14 05:56:34,39.992432,-105.247650,48552.73,20791.08,43875.94
2022-03-14 05:56:44,39.992420,-105.247658,48017.52,21031.90,43166.43
2022-03-14 05:56:54,39.992413,-105.247665,47208.34,19271.81,43095.53
2022-03-14 05:57:04,39.992409,-105.247658,47362.79,19558.38,43135.88
2022-03-14 05:57:14,39.992409,-105.247635,47068.56,18693.59,43197.21
2022-03-14 05:57:24,39.992413,-105.247643,47286.35,19378.00,43133.42
2022-03-14 05:57:34,39.992413,-105.247643,46882.46,19509.48,42630.33
2022-03-14 05:57:44,39.992420,-105.247681,46862.84,19128.15,42781.30
2022-03-14 05:57:54,39.992420,-105.247681,47053.23,19261.04,42930.39
2022-03-14 05:58:04,39.992413,-105.247696,47498.10,19025.90,43521.08
2022-03-14 05:58:14,39.992413,-105.247704,47291.56,18823.73,43383.86
2022-03-14 05:58:24,39.992393,-105.247688,47302.92,19423.84,43130.97
2022-03-14 05:58:34,39.992382,-105.247696,47279.89,19280.54,43170.00
2022-03-14 05:58:44,39.992382,-105.247696,47153.63,19560.19,42905.29
2022-03-14 05:58:54,39.992405,-105.247711,47138.31,18492.88,43359.36
2022-03-14 05:59:04,39.992405,-105.247711,47427.16,20190.62,42914.74
2022-03-14 05:59:14,39.992390,-105.247704,65760.27,28748.68,59143.27
2022-03-14 05:59:24,39.992390,-105.247704,48007.42,20157.38,43570.55
2022-03-14 05:59:34,39.992386,-105.247704,47985.65,20369.66,43447.66
2022-03-14 05:59:44,39.992397,-105.247726,47894.34,20908.83,43089.32
2022-03-14 05:59:54,39.992397,-105.247711,48212.23,20555.03,43610.89
2022-03-14 06:00:04,39.992393,-105.247696,48554.76,20457.29,44034.80
2022-03-14 06:00:14,39.992405,-105.247696,48022.57,20247.79,43545.32
2022-03-14 06:00:24,39.992413,-105.247696,48494.36,19478.95,44410.29
2022-03-14 06:00:34,39.992405,-105.247696,48562.85,19948.51,44276.48
2022-03-14 06:00:44,39.992405,-105.247696,48354.29,21131.23,43492.62
2022-03-14 06:00:54,39.992393,-105.247704,48070.21,20580.88,43441.59
2022-03-14 06:01:04,39.992390,-105.247711,48113.29,20247.57,43645.45
2022-03-14 06:01:14,39.992386,-105.247711,48322.27,20346.67,43829.84
2022-03-14 06:01:24,39.992397,-105.247704,48086.43,20612.07,43444.76
2022-03-14 06:01:34,39.992401,-105.247711,47874.21,19474.61,43734.20
2022-03-14 06:01:44,39.992413,-105.247711,48169.27,20002.75,43819.73
2022-03-14 06:01:54,39.992413,-105.247726,51576.70,9604.04,50674.64
2022-03-14 06:02:04,39.992413,-105.247726,51987.78,9781.11,51059.36
2022-03-14 06:02:14,39.992413,-105.247726,52308.99,9753.66,51391.60
2022-03-14 06:02:24,39.992413,-105.247726,52092.50,9517.91,51215.60
2022-03-14 06:02:34,39.992413,-105.247726,52246.91,9586.40,51359.92
2022-03-14 06:02:44,39.992413,-105.247726,51770.06,9597.97,50872.57
2022-03-14 06:02:54,39.992413,-105.247726,51816.57,9515.42,50935.39
2022-03-14 06:03:04,39.992413,-105.247726,51479.02,9197.59,50650.70
2022-03-14 06:03:14,39.992413,-105.247726,51760.12,9323.96,50913.39
2022-03-14 06:03:24,39.992413,-105.247726,51765.09,9352.79,50913.16
2022-03-14 06:03:34,39.992413,-105.247726,51948.91,9300.90,51109.52
2022-03-14 06:03:44,39.992413,-105.247726,51866.11,9419.82,51003.54
2022-03-14 06:03:54,39.992413,-105.247726,51953.73,9600.44,51059.00
2022-03-14 06:04:04,39.992413,-105.247726,52131.38,9590.42,51241.63
2022-03-14 06:04:14,39.992413,-105.247726,52248.32,9473.35,51382.32
2022-03-14 06:04:24,39.992413,-105.247726,51878.14,9631.48,50976.23
2022-03-14 06:04:34,39.992413,-105.247726,51999.52,9353.17,51151.43
2022-03-14 06:04:44,39.992413,-105.247726,51959.25,9417.12,51098.75
